"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1082.924,1113.106,1106.324,1231.167,1282.947,1466.942,1522.173,1782.221,1900.285,1990.35,2218.278,2302.993,2319.876,2291.864,2303.472,2338.779,2436.006,2589.41,2588.961,2138.87,2093.93,2173.745,no data,no data,no data,no data,no data,no data
Albania,2135.051,2421.278,2590.134,2664.062,2756.803,2744.312,2899.737,2889.536,2894.43,3215.119,2948.374,2207.901,2108.374,2380.023,2675.722,2993.381,3346.305,3051.171,3379.092,3893.239,4285.216,4789.831,5100.209,5509.01,5994.12,6557.21,7203.713,7901.059,8723.954,9133.533,9634.94,10111.205,10462.732,10767.136,11172.166,11559.657,12075.634,12770.998,13498.153,14618.304,14437.1,16262.599,18491.562,20018.303,21376.586,22729.717,24204.289,25501.31,26869.356,28311.117
Algeria,4173.188,4563.271,4994.956,5296.978,5615.132,5834.65,5783.897,5734.819,5655.088,6009.325,6203.223,6182.644,6271.14,6139.207,6077.828,6314.48,6556.209,6631.428,6937.617,7149.951,7455.167,7738.081,8160.932,8732.343,9234.105,9884.874,10326.201,10774.713,11013.174,10994.019,11433.29,11776.513,12032.628,12292.29,12745.527,12988.608,13330.04,13483.308,13703.603,13851.117,12731.754,14559.497,15906.751,16900.136,17718.286,18342.736,18910.932,19435.323,19972.262,20523.67
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50351.539,51767.771,50118.602,49017.199,50682.41,51045.855,52438.82,52353.114,54508.563,56682.724,51671.809,58458.65,66889.776,67395.98,68612.275,69597.088,70553.54,71510.279,72476.684,73456.991
Angola,1510.407,1538.971,1591.954,1679.796,1797.332,1703.032,1738.043,1807.637,1933.704,1956.704,1908.939,2139.614,2359.976,2597.482,2839.506,3095.937,3391.127,3579.153,3666.939,3679.306,3753.81,3870.505,4321.256,4407.323,4868.928,5531.821,6152.564,6885.535,7495.186,7413.311,7610.721,7749.77,8249.101,8476.286,8699.296,8532.432,8168.812,8013.784,8284.622,8578.72,7832.731,8869.641,9568.094,9673.949,9801.001,9910.508,10072.03,10239.754,10413.459,10593.855
Antigua and Barbuda,3425.449,3923.34,4210.56,4677.424,5426.306,6128.351,7093.21,7887.494,8721.335,9627.261,10298.445,10790.348,10984.248,11576.621,12294.397,11688.965,12346.657,12882.321,13280.522,13630.748,14497.861,13912.847,14131.021,15140.058,16280.935,17697.314,20345.765,22597.388,22771.223,19938.947,18379.632,18154.143,18844.398,18773.037,19232.748,19395.123,20071.823,20616.24,23420.494,25082.283,20932.99,23875.701,27614.42,29422.925,31473.728,32736.428,33841.675,34982.279,36134.011,37327.846
Argentina,7178.033,7275.709,7357.925,7820.67,8126.533,7669.666,8276.804,8598.489,8622.161,8230.439,8250.735,9299.495,10349.777,11092.261,11837.542,11598.011,12315.594,13388.591,13903.767,13475.982,13529.29,13091.488,11733.021,12914.244,14308.616,15911.199,17549.655,19456.17,20433.475,19155.3,21008.87,22469.136,22396.505,23065.977,22627.919,23210.096,22701.938,23514.667,24498.379,23535.013,22302.151,26015.237,29068.299,29335.855,28704.096,30381.567,32078.789,33608.602,35008.859,36153.855
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1812.911,1632.917,1800.591,2029.185,2207.428,2343.736,2543.006,2677.97,2908.326,3276.649,3832.809,4472.366,5090.337,6030.714,7060.631,8276.59,9052.415,7845.766,8125.805,8678.444,9464.282,9920.372,10438.908,10859.605,10976.02,12065.632,12877.363,14974.555,14706.317,15921.705,19414.998,21532.119,23376.226,24968.338,26573.985,28277.803,30089.489,32017.612
Aruba,no data,no data,no data,no data,no data,no data,11187.35,13459.037,16437.469,18760.352,19465.331,20932.496,21897.004,22525.571,23640.184,24055.044,23842.355,24969.168,25126.093,25483.038,27775.228,29312.905,29283.693,29851.565,32195.255,32231.958,33002.045,34683.8,35727.164,31534.686,30974.164,32438.671,32221.701,34361.014,34040.116,33794.213,34439.965,37524.982,39287.129,39110.415,29876.108,37813.246,44908.49,48967.953,52944.99,55054.501,56948.502,58913.65,60964.834,63105.542
Australia,10277.787,11529.563,12049.62,12305.539,13391.167,14363.825,14790.17,15650.118,16595.129,17779.399,18466.456,18676.717,19397.085,20447.66,21687.874,22510.379,23563.574,24848.687,26034.572,27258.342,28405.206,29424.446,30777.881,31972.501,33806.141,35450.928,36930.167,38847.793,39747.859,40056.322,40951.336,42291.726,43921.566,44939.863,46227.137,47068.446,48006.646,49291.76,51307.076,53598.066,53890.665,60422.561,65873.491,67900.529,69475.413,71308.542,73306.143,75394.02,77601.084,79920.67
Austria,12287.247,13409.393,14491.441,15526.939,16138.983,17011.347,17741.469,18462.011,19272.241,20757.169,22321.341,23665.919,24433.159,24877.333,25867.313,27047.417,28165.126,29217.495,30570.5,32043.264,33793.936,34859.031,35808.067,36694.771,38469.466,40290.758,42746.121,45391.159,46792.628,45200.459,46481.15,48666.894,49686.59,50241.569,51052.937,51533.26,52388.368,54068.015,56655.538,60719.04,58715.289,63590.151,71029.961,71988.371,73050.854,74975.643,77489.775,79983.42,82085.866,84121.153
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3810.254,2988.294,2416.168,2132.411,2202.579,2416.589,2565.262,2870.084,3087.049,3327.517,3663.382,4078.322,4531.744,5839.001,7993.593,10128.882,11288.319,12210.793,12868.986,12983.566,13335.168,14168.526,14625.584,14740.405,14257.54,14380.188,15347.341,16798.121,15344.671,20335.335,22727.892,23660.458,24698.092,25476.585,26244.481,27036.166,27851.263,28711.132
"Bahamas, The",12881.602,13435.532,14818.282,16078.556,16686.227,17687.927,18199.407,19018.055,19721.868,20613.26,21251.517,20695.596,20009.377,20195.331,20912.308,21833.764,22780.528,23914.711,24910.143,26632.508,27846.316,28767.528,29546.298,29300.863,29904.354,31423.405,32729.592,33618.529,33001.406,31379.366,31810.397,32338.255,33618.129,32878.606,33725.629,34029.174,33674.995,34875.399,35705.02,36264.3,26574.634,29490.156,34564.924,36353.911,37516.978,38425.276,39370.853,40292.751,41234.354,42198.444
Bahrain,18581.769,20102.143,21916.308,23563.966,24607.341,24311.869,24072.071,23527.684,24911.251,25240.686,26868.484,27275.915,29397.382,31541.574,32386.293,32825.803,33616.105,34088.225,35203.167,36849.769,39279.692,39687.204,38767.264,39055.478,39820.655,40638.703,41276.007,42426.318,43152.143,41804.67,42139.647,45289.273,47334.642,48899.301,49471.956,49100.582,49527.935,50184.501,51993.131,56599.521,53436.032,54939.776,61394.855,63497.708,65344.834,66966.504,68455.443,69873.915,71344.152,72908.242
Bangladesh,647.963,717.074,759.376,799.742,849.119,880.817,912.366,944.694,973.532,1012.269,1085.84,1133.387,1190.751,1247.386,1297.986,1361.098,1419.514,1477.3,1538.941,1600.894,1690.488,1782.374,1845.558,1937.359,2060.144,2230.258,2419.611,2628.146,2807.52,2934.397,3100.476,3330.677,3572.447,3807.441,4061.872,4319.664,4620.214,4959.53,5563.893,6116.365,6705.448,7485.821,8493.937,9211.637,9840.469,10366.621,11262.656,12192.428,13128.343,14114.542
