fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
6.053935057787561934e-03,6.127450980392156604e-02,5.714285969734191895e-01
6.108970831040175936e-03,6.127450980392156604e-02,5.266358852386474609e-01
7.319757842597688323e-03,8.088235294117647467e-02,3.333333432674407959e-01
1.133736929003852437e-02,1.066176470588235253e-01,3.225806355476379395e-01
1.139240506329113924e-02,1.066176470588235253e-01,3.196627199649810791e-01
2.383048981838194885e-02,2.107843137254901966e-01,3.148148059844970703e-01
2.383048981838194885e-02,2.132352941176470507e-01,2.563372552394866943e-01
4.876169510181618122e-02,3.198529411764705621e-01,2.424242496490478516e-01
7.446340121078701135e-02,4.068627450980392135e-01,2.368421107530593872e-01
7.622454595487065943e-02,4.117647058823529216e-01,2.222222238779067993e-01
9.246009906439185688e-02,4.583333333333333148e-01,1.951219439506530762e-01
9.251513483764446655e-02,4.583333333333333148e-01,1.841226369142532349e-01
9.262520638414969976e-02,4.583333333333333148e-01,1.747795790433883667e-01
1.270776004402861814e-01,5.367647058823529216e-01,1.742919385433197021e-01
1.271326362135387911e-01,5.367647058823529216e-01,1.668058037757873535e-01
1.272427077600440382e-01,5.367647058823529216e-01,1.455265581607818604e-01
2.085855806274078128e-01,6.654411764705882026e-01,1.260022968053817749e-01
2.086956521739130321e-01,6.654411764705882026e-01,9.363265335559844971e-02
2.959823885525591503e-01,7.696078431372549433e-01,9.137056022882461548e-02
2.964226747385800831e-01,7.696078431372549433e-01,8.965478837490081787e-02
3.056136488717666744e-01,7.757352941176470784e-01,8.695652335882186890e-02
3.057237204182718937e-01,7.757352941176470784e-01,8.005621284246444702e-02
3.311502476609796131e-01,7.916666666666666297e-01,6.866952776908874512e-02
3.313703907539901072e-01,7.916666666666666297e-01,6.822320818901062012e-02
3.425426527242707575e-01,7.953431372549019107e-01,6.818182021379470825e-02
4.382498624105668483e-01,8.419117647058823595e-01,4.894326999783515930e-02
5.645019262520638570e-01,9.007352941176470784e-01,4.207119718194007874e-02
5.650522839845899536e-01,9.007352941176470784e-01,3.288840502500534058e-02
5.651073197578425633e-01,9.007352941176470784e-01,3.264816105365753174e-02
5.741882223445239353e-01,9.031862745098039325e-01,3.125000000000000000e-02
5.742982938910291546e-01,9.031862745098039325e-01,2.767188660800457001e-02
5.743533296642817643e-01,9.031862745098039325e-01,2.573499456048011780e-02
6.429279031370390696e-01,9.227941176470588758e-01,2.329450845718383789e-02
6.431480462300495082e-01,9.227941176470588758e-01,2.260213904082775116e-02
6.535498073747936232e-01,9.240196078431373028e-01,2.222222276031970978e-02
6.537699504678040618e-01,9.240196078431373028e-01,2.052067965269088745e-02
7.922399559713814154e-01,9.522058823529411242e-01,1.953418552875518799e-02
7.924600990643918541e-01,9.522058823529411242e-01,1.933963596820831299e-02
9.664281783159053285e-01,9.926470588235294379e-01,1.919385790824890137e-02
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
